network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,attack_detected,protocol_type_TCP,protocol_type_UDP,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown
456,5,108,0,2,0,0,1,0,0,0,1,0,0
571,5,1101,0,2,1,0,1,0,1,0,0,0,0
795,6,1614,0,2,0,1,1,0,1,0,0,0,0
396,6,1679,0,0,0,1,1,0,1,0,0,0,0
338,2,431,0,1,0,0,0,1,0,1,0,0,0
399,3,546,0,0,0,0,1,0,1,0,0,0,0
683,5,312,0,3,0,1,1,0,0,0,1,0,0
565,8,127,0,2,1,1,1,0,1,0,0,0,0
394,4,190,0,1,0,1,0,1,1,0,0,0,0
602,4,115,0,1,1,1,1,0,1,0,0,0,0
519,3,418,0,2,1,0,1,0,0,0,1,0,0
693,4,149,0,2,0,1,1,0,0,1,0,0,0
359,4,413,0,3,0,1,1,0,1,0,0,0,0
434,7,1524,0,0,0,1,0,1,0,0,1,0,0
421,7,850,0,3,0,1,1,0,0,0,0,1,0
207,4,869,0,3,0,1,0,1,0,0,1,0,0
559,3,1336,0,1,0,0,1,0,0,0,0,1,0
552,2,33,0,0,0,0,1,0,0,0,1,0,0
501,3,1265,0,2,0,0,0,1,0,0,1,0,0
453,5,174,0,2,0,0,1,0,0,0,1,0,0
216,6,339,0,0,0,1,1,0,0,1,0,0,0
415,2,294,0,3,0,1,1,0,1,0,0,0,0
431,2,89,0,2,0,0,1,0,0,0,1,0,0
339,3,152,0,2,0,0,1,0,0,0,1,0,0
467,1,2505,0,2,0,0,0,0,1,0,0,0,0
580,3,733,0,2,0,0,0,0,1,0,0,0,0
877,4,513,0,0,0,1,1,0,0,1,0,0,0
534,4,1134,0,2,0,1,1,0,1,0,0,0,0
551,5,1344,0,0,0,0,1,0,0,0,1,0,0
485,6,93,0,2,0,0,1,0,1,0,0,0,0
116,4,1080,0,0,0,0,1,0,0,1,0,0,0
494,6,2155,0,1,0,0,1,0,0,0,1,0,0
512,6,704,0,1,1,0,1,0,1,0,0,0,0
992,2,761,0,1,0,0,1,0,0,0,1,0,0
461,3,1634,0,1,0,1,1,0,0,1,0,0,0
560,5,910,0,2,0,0,1,0,1,0,0,0,0
493,1,4282,0,1,0,0,0,1,0,0,0,0,1
266,5,265,0,2,1,1,1,0,0,0,0,1,0
728,9,1493,0,0,0,1,1,0,1,0,0,0,0
650,9,758,0,1,1,1,1,0,1,0,0,0,0
658,3,364,0,1,0,0,1,0,1,0,0,0,0
318,2,1716,0,1,0,0,1,0,0,1,0,0,0
780,5,4468,0,1,0,0,1,0,1,0,0,0,0
219,4,47,0,3,1,1,0,0,0,0,1,0,0
617,5,2077,0,1,0,1,1,0,0,0,1,0,0
938,5,181,0,2,0,0,1,0,0,0,1,0,0
301,6,183,0,2,0,0,1,0,0,0,1,0,0
386,1,34,0,1,1,0,0,0,1,0,0,0,0
519,8,2042,0,3,0,1,0,1,1,0,0,0,0
399,6,1139,0,1,0,1,0,1,1,0,0,0,0
189,1,43,0,2,0,0,1,0,1,0,0,0,0
513,3,803,0,0,1,0,0,0,1,0,0,0,0
287,6,102,0,1,0,1,1,0,1,0,0,0,0
594,9,1113,0,1,0,1,1,0,0,0,1,0,0
316,3,420,0,0,0,1,0,1,1,0,0,0,0
809,4,42,0,1,0,1,0,1,0,0,0,0,1
343,5,1414,0,3,1,1,1,0,0,1,0,0,0
435,4,679,0,3,0,1,1,0,0,0,0,1,0
662,1,1185,0,2,0,0,1,0,1,0,0,0,0
253,1,897,0,4,0,1,1,0,0,0,0,0,1
545,4,455,0,3,0,1,1,0,0,0,0,0,1
761,1,959,0,2,0,0,0,0,1,0,0,0,0
178,3,11,0,1,1,0,1,0,0,1,0,0,0
536,3,332,0,0,0,1,0,1,0,0,1,0,0
551,3,1203,0,2,0,0,0,1,1,0,0,0,0
656,5,1151,0,1,0,0,1,0,1,0,0,0,0
252,4,1747,0,0,0,1,0,1,0,0,1,0,0
235,3,755,0,3,0,1,1,0,1,0,0,0,0
604,3,2280,0,0,0,1,1,0,1,0,0,0,0
559,3,652,0,2,0,0,1,0,1,0,0,0,0
550,1,555,0,2,0,0,1,0,1,0,0,0,0
569,7,175,0,1,1,1,0,1,1,0,0,0,0
363,6,1207,0,2,0,0,0,0,1,0,0,0,0
546,5,942,0,1,0,0,1,0,1,0,0,0,0
558,9,494,0,2,0,1,0,1,0,0,0,1,0
357,9,72,0,2,0,1,1,0,0,1,0,0,0
873,3,107,0,2,0,0,0,1,1,0,0,0,0
594,3,97,0,4,0,1,1,0,1,0,0,0,0
261,10,376,0,1,0,1,1,0,0,0,0,1,0
631,6,138,0,1,0,0,1,0,1,0,0,0,0
305,6,1577,0,1,0,0,1,0,0,1,0,0,0
657,6,1836,0,3,0,1,1,0,1,0,0,0,0
731,5,1554,0,2,0,1,0,1,0,0,1,0,0
335,3,750,0,3,0,1,1,0,1,0,0,0,0
692,7,725,0,2,0,1,0,1,1,0,0,0,0
582,5,1772,0,1,0,0,0,1,1,0,0,0,0
664,8,417,0,2,0,1,1,0,0,1,0,0,0
879,5,51,0,0,0,1,1,0,0,0,1,0,0
450,1,508,0,2,0,0,0,1,1,0,0,0,0
349,8,645,0,1,0,1,1,0,1,0,0,0,0
322,1,637,0,1,0,0,1,0,1,0,0,0,0
336,2,138,0,2,0,1,1,0,1,0,0,0,0
484,5,1223,0,1,1,1,1,0,1,0,0,0,0
568,5,1053,0,2,0,1,0,0,0,1,0,0,0
555,5,208,0,1,0,0,1,0,1,0,0,0,0
665,6,640,0,3,0,1,1,0,0,0,1,0,0
502,12,1249,0,1,0,1,1,0,0,0,1,0,0
790,4,6,0,2,0,1,0,1,0,0,1,0,0
447,3,257,0,0,1,0,0,1,0,0,1,0,0
1044,4,510,0,2,0,0,1,0,0,1,0,0,0
625,1,1491,0,3,0,1,1,0,1,0,0,0,0
328,4,1283,0,2,0,0,1,0,1,0,0,0,0
285,7,130,0,2,1,1,1,0,1,0,0,0,0
596,2,497,0,2,0,0,1,0,1,0,0,0,0
455,2,290,0,2,0,0,0,0,0,0,1,0,0
642,1,410,0,2,0,0,1,0,1,0,0,0,0
594,4,622,0,2,0,1,1,0,1,0,0,0,0
485,4,553,0,2,0,0,0,1,1,0,0,0,0
330,2,122,0,0,0,0,1,0,0,1,0,0,0
197,7,103,0,2,0,1,1,0,0,1,0,0,0
410,5,111,0,1,0,0,1,0,0,1,0,0,0
671,4,1472,0,3,0,1,1,0,0,0,0,0,1
542,5,16,0,1,1,0,0,1,0,0,1,0,0
250,4,180,0,1,0,0,1,0,1,0,0,0,0
534,7,2496,0,1,0,1,1,0,1,0,0,0,0
577,5,54,0,1,0,0,1,0,0,1,0,0,0
323,5,29,0,1,0,0,0,1,1,0,0,0,0
530,5,391,0,2,0,0,1,0,0,0,1,0,0
511,2,131,0,2,0,0,1,0,1,0,0,0,0
271,3,667,0,3,0,1,0,0,1,0,0,0,0
571,5,330,0,0,0,0,1,0,0,0,1,0,0
612,3,187,0,2,0,0,0,1,0,0,0,1,0
716,3,5258,0,2,0,0,1,0,1,0,0,0,0
710,2,333,0,3,0,1,1,0,0,0,1,0,0
224,5,819,0,2,0,0,1,0,0,1,0,0,0
312,4,1657,0,1,0,0,1,0,1,0,0,0,0
603,8,2044,0,3,0,1,1,0,1,0,0,0,0
602,7,422,0,3,0,1,1,0,0,1,0,0,0
603,1,2988,0,2,0,0,1,0,1,0,0,0,0
1270,5,1031,0,1,0,1,1,0,1,0,0,0,0
614,7,700,0,3,0,1,1,0,1,0,0,0,0
727,2,945,0,1,0,1,0,0,1,0,0,0,0
690,8,357,0,1,0,1,1,0,1,0,0,0,0
630,3,441,0,2,0,0,0,0,0,1,0,0,0
436,2,706,0,0,0,0,1,0,1,0,0,0,0
651,7,316,0,2,0,1,1,0,1,0,0,0,0
345,3,1171,0,1,1,1,1,0,0,0,0,0,1
452,4,231,0,3,0,1,0,1,0,0,0,1,0
402,6,1274,0,1,0,1,0,1,1,0,0,0,0
516,7,132,0,2,1,1,1,0,1,0,0,0,0
962,3,196,0,1,1,0,0,1,1,0,0,0,0
126,2,1118,0,1,0,1,1,0,1,0,0,0,0
637,7,244,0,1,0,1,1,0,1,0,0,0,0
177,3,1269,0,1,0,0,0,0,0,0,1,0,0
405,5,1225,0,0,0,1,0,1,1,0,0,0,0
717,3,237,0,2,0,1,0,0,0,0,0,0,1
512,2,60,0,3,1,1,1,0,1,0,0,0,0
284,5,145,0,1,0,0,1,0,0,0,1,0,0
356,5,1117,0,1,0,0,1,0,1,0,0,0,0
635,10,1501,0,3,0,1,1,0,0,0,1,0,0
353,5,386,0,0,0,0,0,1,1,0,0,0,0
543,4,143,0,0,0,0,1,0,0,1,0,0,0
509,5,62,0,2,0,1,1,0,1,0,0,0,0
369,4,194,0,1,0,0,1,0,1,0,0,0,0
928,5,3117,0,2,0,0,1,0,1,0,0,0,0
626,6,149,0,1,0,1,1,0,1,0,0,0,0
94,3,72,0,2,0,0,1,0,1,0,0,0,0
537,4,1231,0,0,0,0,0,1,1,0,0,0,0
367,6,764,0,1,0,0,1,0,1,0,0,0,0
670,4,612,0,2,0,1,0,1,1,0,0,0,0
341,4,475,0,1,0,1,1,0,1,0,0,0,0
477,5,968,0,0,0,0,1,0,1,0,0,0,0
600,3,958,0,1,0,0,1,0,0,1,0,0,0
673,5,441,0,3,0,1,0,1,1,0,0,0,0
259,3,213,0,3,0,1,1,0,0,0,1,0,0
433,3,1472,0,3,1,1,1,0,0,1,0,0,0
405,10,143,0,1,0,1,1,0,1,0,0,0,0
369,3,610,0,2,0,0,1,0,0,0,1,0,0
853,4,943,0,3,0,1,0,1,0,0,1,0,0
580,2,814,0,2,0,0,0,1,1,0,0,0,0
247,5,771,0,2,0,1,1,0,1,0,0,0,0
683,3,868,0,0,0,0,1,0,1,0,0,0,0
924,6,1667,0,2,0,0,0,1,1,0,0,0,0
706,4,363,0,2,1,0,1,0,0,0,1,0,0
196,3,789,0,1,0,0,1,0,1,0,0,0,0
403,3,955,0,1,0,0,1,0,1,0,0,0,0
753,2,713,0,2,0,0,1,0,0,1,0,0,0
358,2,1866,0,1,1,0,1,0,0,0,0,1,0
588,2,850,0,4,0,1,0,1,1,0,0,0,0
654,6,441,0,0,0,0,1,0,0,1,0,0,0
314,6,1494,0,3,0,1,1,0,0,0,0,1,0
488,5,537,0,0,0,0,0,1,1,0,0,0,0
64,4,604,0,1,0,1,1,0,1,0,0,0,0
295,4,698,0,4,0,1,1,0,0,0,1,0,0
449,2,311,0,1,0,0,1,0,1,0,0,0,0
250,4,1025,0,2,0,0,1,0,1,0,0,0,0
826,9,82,0,1,0,1,0,1,1,0,0,0,0
213,3,1625,0,1,0,0,0,1,1,0,0,0,0
411,4,1123,0,1,0,0,1,0,1,0,0,0,0
526,3,349,0,2,0,1,0,1,1,0,0,0,0
788,5,205,0,2,1,0,1,0,0,1,0,0,0
212,6,392,0,1,1,0,0,1,1,0,0,0,0
732,2,1308,0,4,0,1,1,0,0,1,0,0,0
502,6,25,0,3,0,1,1,0,1,0,0,0,0
303,4,504,0,1,0,0,1,0,1,0,0,0,0
592,1,234,0,2,0,0,1,0,0,1,0,0,0
539,2,1663,0,2,0,1,1,0,0,0,0,1,0
379,4,427,0,1,0,1,1,0,0,0,1,0,0
513,4,957,0,1,0,1,0,1,1,0,0,0,0
422,5,354,0,1,0,1,1,0,0,0,0,1,0
522,7,320,0,1,0,1,0,0,0,0,1,0,0
632,6,315,0,2,0,0,1,0,0,0,1,0,0
817,7,906,0,1,0,1,1,0,1,0,0,0,0
252,5,2664,0,2,0,0,0,1,0,0,1,0,0
926,6,186,0,1,0,0,1,0,1,0,0,0,0
109,3,826,0,2,0,0,0,1,0,0,1,0,0
469,3,246,0,3,0,1,0,1,1,0,0,0,0
617,3,637,0,1,0,1,1,0,1,0,0,0,0
556,3,624,0,1,0,0,1,0,0,0,1,0,0
375,3,478,0,3,0,1,1,0,1,0,0,0,0
458,6,552,0,3,0,1,1,0,1,0,0,0,0
401,4,1697,0,2,0,0,1,0,1,0,0,0,0
382,5,74,0,2,0,1,0,1,0,0,0,0,1
669,1,1418,0,1,1,0,1,0,1,0,0,0,0
571,3,496,0,4,0,1,1,0,0,0,1,0,0
361,4,324,0,0,0,0,1,0,0,0,0,1,0
679,1,155,0,2,0,0,0,0,0,1,0,0,0
561,4,1349,0,1,0,0,1,0,1,0,0,0,0
662,6,717,0,3,0,1,1,0,1,0,0,0,0
625,7,1042,0,2,0,1,1,0,1,0,0,0,0
334,4,302,0,3,0,1,0,0,1,0,0,0,0
387,2,399,0,1,0,0,0,0,0,0,1,0,0
649,3,1959,0,2,0,0,1,0,0,0,1,0,0
622,3,2599,0,2,0,0,0,1,1,0,0,0,0
495,4,1077,0,3,1,1,1,0,0,0,0,0,1
523,3,1107,0,0,0,0,0,0,1,0,0,0,0
755,1,948,0,2,0,1,1,0,0,0,1,0,0
381,6,707,0,2,1,1,1,0,0,0,1,0,0
609,5,723,0,4,1,1,1,0,1,0,0,0,0
459,7,2655,0,2,1,1,1,0,1,0,0,0,0
456,2,1111,0,2,1,0,0,1,1,0,0,0,0
719,6,852,0,1,0,0,1,0,1,0,0,0,0
665,2,167,0,1,1,0,0,0,1,0,0,0,0
662,2,3020,0,0,0,0,1,0,1,0,0,0,0
761,5,587,0,3,0,1,1,0,1,0,0,0,0
504,4,2301,0,1,0,0,1,0,0,0,1,0,0
636,5,1000,0,2,0,1,1,0,1,0,0,0,0
437,9,32,0,2,0,1,0,1,1,0,0,0,0
564,5,619,0,3,0,1,1,0,1,0,0,0,0
473,3,1785,0,1,0,0,1,0,0,0,1,0,0
519,3,42,0,3,0,1,1,0,0,1,0,0,0
619,1,1612,0,1,0,0,1,0,0,0,0,1,0
336,1,760,0,1,0,0,0,0,0,0,0,0,1
918,3,36,0,0,0,1,1,0,0,1,0,0,0
298,5,374,0,0,0,0,0,1,1,0,0,0,0
257,1,24,0,2,0,0,1,0,1,0,0,0,0
731,2,1,0,2,0,0,1,0,1,0,0,0,0
658,3,1813,0,1,0,1,0,0,0,0,1,0,0
624,4,1104,0,1,0,0,1,0,1,0,0,0,0
625,4,273,0,3,0,1,1,0,1,0,0,0,0
497,5,96,0,1,0,1,1,0,0,0,1,0,0
320,5,44,0,0,0,0,1,0,1,0,0,0,0
515,4,1993,0,1,0,0,0,1,0,0,1,0,0
364,5,785,0,2,0,0,1,0,1,0,0,0,0
695,5,140,0,1,0,1,0,1,1,0,0,0,0
470,5,915,0,1,0,0,1,0,1,0,0,0,0
334,4,5443,0,1,0,0,1,0,0,0,1,0,0
435,2,1241,0,0,0,0,1,0,1,0,0,0,0
582,4,473,0,0,0,0,1,0,1,0,0,0,0
387,3,1346,0,3,0,1,0,0,1,0,0,0,0
335,10,1091,0,2,0,1,1,0,0,0,1,0,0
548,2,74,0,0,0,0,1,0,1,0,0,0,0
548,8,2079,0,1,0,1,0,1,1,0,0,0,0
398,1,1724,0,3,1,1,0,1,0,0,1,0,0
405,1,714,0,1,1,0,1,0,0,0,1,0,0
546,5,567,0,0,1,0,0,1,0,1,0,0,0
210,5,206,0,3,0,1,1,0,1,0,0,0,0
218,2,1438,0,1,0,1,1,0,0,0,0,1,0
356,5,452,0,3,1,1,1,0,1,0,0,0,0
457,8,692,0,2,0,1,1,0,0,0,1,0,0
562,8,149,0,1,0,1,1,0,0,1,0,0,0
795,5,192,0,4,0,1,1,0,0,1,0,0,0
671,3,3370,0,3,0,1,1,0,0,0,1,0,0
468,5,544,0,1,0,1,0,1,0,0,0,0,1
496,3,1353,0,1,0,0,0,0,1,0,0,0,0
299,5,1416,0,0,0,0,0,1,0,0,1,0,0
496,4,3192,0,3,0,1,1,0,1,0,0,0,0
442,2,3255,0,3,0,1,1,0,1,0,0,0,0
564,10,488,0,2,0,1,1,0,1,0,0,0,0
334,3,2401,0,3,0,1,1,0,0,0,1,0,0
603,3,363,0,1,0,1,1,0,0,1,0,0,0
806,6,748,0,0,0,1,1,0,1,0,0,0,0
478,5,1379,0,2,0,0,0,1,0,0,1,0,0
580,7,1960,0,4,0,1,1,0,1,0,0,0,0
638,4,593,0,1,0,0,1,0,0,0,1,0,0
419,5,432,0,1,1,0,1,0,1,0,0,0,0
544,3,1043,0,3,1,1,1,0,1,0,0,0,0
502,2,486,0,2,0,0,1,0,0,0,0,0,1
519,2,891,0,1,0,0,1,0,0,1,0,0,0
345,4,1304,0,2,1,0,1,0,0,0,1,0,0
504,5,1471,0,1,0,0,1,0,1,0,0,0,0
599,5,234,0,2,1,0,1,0,0,0,1,0,0
790,6,677,0,1,0,0,0,1,1,0,0,0,0
691,7,20,0,1,1,1,0,1,0,0,1,0,0
930,6,1278,0,3,0,1,1,0,0,1,0,0,0
346,2,106,0,2,0,0,1,0,0,0,1,0,0
674,1,1642,0,2,1,0,0,1,0,1,0,0,0
536,5,417,0,1,1,0,1,0,1,0,0,0,0
937,6,146,0,1,0,1,1,0,1,0,0,0,0
338,4,1270,0,2,1,1,1,0,1,0,0,0,0
332,6,178,0,1,0,0,1,0,0,1,0,0,0
380,7,401,0,4,1,1,0,1,1,0,0,0,0
75,2,669,0,1,0,1,0,1,0,0,1,0,0
394,5,357,0,1,0,0,1,0,1,0,0,0,0
348,2,157,0,3,0,1,1,0,0,0,1,0,0
530,6,416,0,1,1,0,1,0,0,0,0,1,0
568,7,124,0,2,0,1,1,0,1,0,0,0,0
875,4,1015,0,3,0,1,0,0,1,0,0,0,0
690,5,150,0,2,0,0,1,0,0,0,1,0,0
384,4,526,0,1,0,0,1,0,0,1,0,0,0
320,4,657,0,0,0,0,0,1,1,0,0,0,0
598,2,2321,0,2,1,1,0,1,1,0,0,0,0
235,4,65,0,2,0,0,0,1,1,0,0,0,0
866,8,2132,0,1,0,1,1,0,1,0,0,0,0
735,2,186,0,2,0,0,1,0,1,0,0,0,0
406,1,1470,0,2,0,0,1,0,1,0,0,0,0
157,7,75,0,2,0,1,1,0,1,0,0,0,0
770,2,3586,0,1,0,0,0,0,1,0,0,0,0
477,2,1318,0,0,0,0,1,0,0,0,1,0,0
747,3,52,0,4,0,1,0,0,1,0,0,0,0
181,5,192,0,0,0,1,1,0,1,0,0,0,0
380,4,636,0,3,0,1,0,1,0,0,0,1,0
501,5,593,0,0,0,1,1,0,0,0,0,0,1
509,6,793,0,2,0,0,0,0,0,0,1,0,0
409,3,498,0,0,0,0,1,0,1,0,0,0,0
624,4,1059,0,2,1,0,1,0,0,0,0,1,0
286,4,342,0,0,0,0,0,1,0,0,1,0,0
471,4,155,0,2,0,0,1,0,1,0,0,0,0
524,3,27,0,1,0,0,1,0,0,1,0,0,0
602,5,314,0,1,0,0,0,0,1,0,0,0,0
642,6,445,0,0,0,0,1,0,0,0,1,0,0
275,6,860,0,1,0,0,1,0,1,0,0,0,0
193,2,1313,0,2,1,0,1,0,0,0,1,0,0
755,6,219,0,2,0,0,0,1,1,0,0,0,0
566,5,543,0,2,0,1,1,0,0,0,1,0,0
350,4,212,0,3,0,1,1,0,1,0,0,0,0
810,6,2415,0,2,0,0,1,0,0,0,1,0,0
523,1,834,0,1,0,1,1,0,1,0,0,0,0
735,5,906,0,2,0,1,1,0,1,0,0,0,0
513,2,606,0,1,0,1,1,0,0,1,0,0,0
912,6,264,0,2,0,1,1,0,1,0,0,0,0
851,7,178,0,2,0,1,1,0,0,0,1,0,0
450,4,855,0,1,0,0,1,0,1,0,0,0,0
694,4,2037,0,4,1,1,1,0,0,0,1,0,0
629,7,191,0,0,1,1,1,0,0,0,1,0,0
773,2,678,0,1,0,0,1,0,0,0,1,0,0
307,6,602,0,3,0,1,1,0,0,1,0,0,0
637,2,821,0,1,0,0,1,0,0,1,0,0,0
711,5,708,0,2,0,0,1,0,1,0,0,0,0
148,4,254,0,1,0,1,0,1,0,0,1,0,0
263,3,940,0,3,1,1,1,0,1,0,0,0,0
92,1,254,0,4,0,1,1,0,1,0,0,0,0
446,2,846,0,1,0,0,1,0,1,0,0,0,0
643,3,285,0,3,0,1,1,0,1,0,0,0,0
800,3,68,0,1,0,0,0,1,1,0,0,0,0
514,2,108,0,2,0,1,1,0,0,0,1,0,0
825,8,1437,0,3,1,1,1,0,0,1,0,0,0
223,5,103,0,2,0,1,1,0,1,0,0,0,0
159,4,320,0,2,0,0,1,0,1,0,0,0,0
488,2,271,0,3,0,1,1,0,1,0,0,0,0
576,6,47,0,2,0,0,1,0,0,1,0,0,0
493,4,732,0,0,0,1,0,1,0,0,0,0,1
86,4,1282,0,2,0,1,1,0,1,0,0,0,0
482,3,3896,0,3,0,1,1,0,1,0,0,0,0
239,3,2199,0,2,0,1,1,0,1,0,0,0,0
633,5,40,0,2,1,0,1,0,0,0,1,0,0
573,4,238,0,1,0,0,1,0,1,0,0,0,0
312,3,424,0,2,0,1,1,0,1,0,0,0,0
397,2,1663,0,3,0,1,1,0,0,0,1,0,0
288,4,357,0,1,0,0,1,0,0,1,0,0,0
487,3,675,0,3,0,1,0,1,0,0,1,0,0
691,5,862,0,2,1,0,1,0,0,1,0,0,0
302,4,283,0,1,0,1,0,1,1,0,0,0,0
600,2,697,0,2,0,0,1,0,0,0,1,0,0
393,1,41,0,1,0,0,1,0,1,0,0,0,0
341,6,523,0,2,0,0,0,1,1,0,0,0,0
478,3,380,0,3,0,1,1,0,0,1,0,0,0
292,2,351,0,1,1,0,0,1,0,0,1,0,0
389,2,214,0,1,0,1,0,1,0,0,1,0,0
260,4,1361,0,1,0,0,1,0,1,0,0,0,0
892,5,1709,0,2,0,0,1,0,0,0,0,1,0
507,5,1752,0,0,1,0,1,0,0,0,1,0,0
360,3,403,0,1,0,0,0,0,0,1,0,0,0
542,3,239,0,1,1,0,0,1,1,0,0,0,0
477,2,82,0,2,1,0,1,0,0,0,1,0,0
455,3,892,0,0,0,0,1,0,0,1,0,0,0
622,4,320,0,1,0,0,1,0,1,0,0,0,0
651,6,259,0,2,0,0,1,0,1,0,0,0,0
393,3,371,0,0,0,0,1,0,1,0,0,0,0
384,5,647,0,1,1,0,1,0,0,0,1,0,0
444,5,141,0,2,0,0,1,0,1,0,0,0,0
64,4,2602,0,0,0,0,1,0,1,0,0,0,0
196,4,1055,0,2,0,0,0,1,1,0,0,0,0
773,2,38,0,1,0,0,0,1,1,0,0,0,0
828,4,293,0,1,0,0,0,1,0,0,0,1,0
450,3,41,0,1,0,0,0,1,0,0,0,1,0
615,6,208,0,0,0,1,1,0,0,0,0,0,1
562,3,270,0,2,0,0,1,0,0,1,0,0,0
1115,1,1012,0,1,0,0,1,0,0,1,0,0,0
723,3,1014,0,3,0,1,0,1,0,1,0,0,0
474,3,37,0,2,0,1,0,1,1,0,0,0,0
308,5,709,0,2,1,0,0,1,1,0,0,0,0
178,6,2593,0,1,0,1,0,1,0,1,0,0,0
540,8,791,0,1,0,1,1,0,1,0,0,0,0
348,3,2586,0,2,0,0,1,0,0,1,0,0,0
215,2,383,0,0,0,0,1,0,1,0,0,0,0
